1E-05 1,25E-11 2,5E-06
1,1543818391729E-05 1,66554280796073E-11 2,88604758532487E-06
1,30180582510382E-05 2,11804569534551E-11 3,25457553820789E-06
1,45669305946487E-05 2,65199072603813E-11 3,64173154055475E-06
1,62396026216546E-05 3,29595774627129E-11 4,05982137415672E-06
1,80592347647592E-05 4,07591596471548E-11 4,51463790374043E-06
2,00410236273723E-05 5,0195229052505E-11 5,00998038315884E-06
2,21978603098946E-05 6,15802251958325E-11 5,54907090465782E-06
2,45422212403063E-05 7,52737292406852E-11 6,13502761819187E-06
2,70868195222318E-05 9,16914000219404E-11 6,77102772055177E-06
2,98448375154268E-05 1,11313565235289E-10 7,46036564667217E-06
3,28300165756792E-05 1,34694271200016E-10 8,20647551833337E-06
3,60566978864687E-05 1,62471151927949E-10 9,01294135566345E-06
3,95398465259071E-05 1,95376313722631E-10 9,88350309423329E-06
4,32950697993031E-05 2,34248372687615E-10 1,08220611674965E-05
4,73386336296214E-05 2,80045764230524E-10 1,18326806033312E-05
5,16874783111889E-05 3,33861441079951E-10 1,29195949612481E-05
5,6359234075978E-05 3,96939079989578E-10 1,40872102226753E-05
6,13722366266795E-05 4,70690923557176E-10 1,5340108672903E-05
6,67455426889112E-05 5,56717391049958E-10 1,6683052787787E-05
7,24989455997256E-05 6,56828600277164E-10 1,81209891295106E-05
7,86529909374426E-05 7,73067951189984E-10 1,96590522526624E-05
8,52289921936686E-05 9,07737930948651E-10 2,13025686208504E-05
9,22490464869605E-05 1,06342830965559E-09 2,3057060533717E-05
9,9736050317141E-05 1,24304690580912E-09 2,49282500641092E-05
0,000107713715359155 1,44985311078919E-09 2,69220630051252E-05
0,000116206584295351 1,68749437235188E-09 2,90446328267602E-05
0,000125240046685095 1,96004584819134E-09 3,13023046418784E-05
0,000134840354870675 2,27205345213528E-09 3,37016391812511E-05
0,000145034639918495 2,62858052748174E-09 3,62494167774078E-05
0,000155850927594593 3,0352583943697E-09 3,89526413570629E-05
0,000167318154373568 3,49834103091373E-09 4,18185444418868E-05
