/////////////// Part A - QM-problem ///////////////
Number of sweeps in jacobi=10

k 	 Calculated 	  Exact 	 Relative deviation
0 	 9,86880867886155 	 9,86960440108936 	 -0,00806235179715176%
1 	 39,4656872804097 	 39,4784176043574 	 -0,0322462872633024%
2 	 88,7620027360831 	 88,8264396098042 	 -0,0725424479515412%
3 	 157,710064044433 	 157,91367041743 	 -0,128935241932138%
4 	 246,243168409082 	 246,740110027234 	 -0,201402851809045%
5 	 354,275665769376 	 355,305758439217 	 -0,289917246026739%
6 	 481,703041661291 	 483,610615653379 	 -0,394444193395269%
7 	 628,402018328412 	 631,654681669719 	 -0,514943280830099%
8 	 794,230673985222 	 799,437956488238 	 -0,651367934278498%
9 	 979,028580117245 	 986,960440108936 	 -0,803665442843378%
10 	 1182,61695668528 	 1194,22213253181 	 -0,971776986072584%
11 	 1404,79884508356 	 1421,22303375687 	 -1,15563766440603%
12 	 1645,35929868442 	 1667,9631437841 	 -1,35517653276205%
13 	 1904,06559078537 	 1934,44246261351 	 -1,57031663723443%
14 	 2180,66743975708 	 2220,66099024511 	 -1,80097505489164%
15 	 2474,89725117471 	 2526,61872667888 	 -2,0470629366448%
16 	 2786,47037669826 	 2852,31567191482 	 -2,30848555315614%
17 	 3115,08538945142 	 3197,75182595295 	 -2,58514234377445%
18 	 3460,42437563261 	 3562,92718879326 	 -2,87692696845056%
19 	 3822,15324207605 	 3947,84176043574 	 -3,1837273626139%
20 	 4199,92203946536 	 4352,49554088041 	 -3,50542579497242%
21 	 4593,36530088686 	 4776,88853012725 	 -3,84189892820262%
22 	 5002,10239539527 	 5221,02072817627 	 -4,19301788249111%
23 	 5425,73789624949 	 5684,89213502747 	 -4,55864830189477%
24 	 5863,86196346257 	 6168,50275068085 	 -4,93865042347029%
25 	 6316,05074029521 	 6671,8525751364 	 -5,33287914914578%
26 	 6781,86676331005 	 7194,94160839414 	 -5,74118412027378%
27 	 7260,85938558897 	 7737,76985045406 	 -6,16340979484037%
28 	 7752,56521270529 	 8300,33730131615 	 -6,59939552726372%
29 	 8256,50855102743 	 8882,64396098042 	 -7,04897565075751%
30 	 8772,20186792242 	 9484,68982944687 	 -7,5119795621825%
31 	 9299,14626341153 	 10106,4749067155 	 -7,9882318093673%
32 	 9836,83195282434 	 10747,9991927863 	 -8,47755218081438%
