e=-0,499977540056565


#r 	 F_e(e,r) 	 exact
0 	 0 	 0
0,08 	 0,0738464809494365 	 0,0738493077109309
0,16 	 0,136333063243494 	 0,136343006234594
0,24 	 0,188776851029634 	 0,188790686655973
0,32 	 0,232347863301783 	 0,232367691863581
0,4 	 0,268105067888765 	 0,268128018414256
0,48 	 0,296986241589781 	 0,297016028066948
0,56 	 0,319841347907525 	 0,319877075755336
0,64 	 0,337428436965631 	 0,337467151387551
0,72 	 0,350419349636405 	 0,35046162429118
0,8 	 0,359420421338115 	 0,359463171293777
0,88 	 0,364969901958919 	 0,365008962279792
0,96 	 0,367541389528328 	 0,367577170536108
1,04 	 0,367559611913181 	 0,367592869237131
1,12 	 0,365402181553597 	 0,365433369977804
1,2 	 0,361404165317703 	 0,361433054294643
1,28 	 0,355861796485556 	 0,355887744580088
1,36 	 0,349038435492227 	 0,349058656656836
1,44 	 0,341159196107031 	 0,341175972502255
1,52 	 0,332428034507539 	 0,332442068167366
1,6 	 0,323024085634502 	 0,323034428791449
1,68 	 0,313101373883911 	 0,313108279746209
1,76 	 0,302794533296583 	 0,302798960328569
1,84 	 0,292222459242826 	 0,292224064036734
1,92 	 0,281486027636337 	 0,281485367290272
2 	 0,27067307935755 	 0,270670566473225
2,08 	 0,259859163284082 	 0,259854841373051
2,16 	 0,249107798847819 	 0,249102261442215
2,24 	 0,238473677290943 	 0,238467049809526
2,32 	 0,228001903358965 	 0,227994718602119
2,4 	 0,217730556746457 	 0,21772308789459
2,48 	 0,207690570065175 	 0,207683199468646
2,56 	 0,197906823484506 	 0,197900135534847
2,64 	 0,188399378989777 	 0,188393751628859
2,72 	 0,179183676490929 	 0,179179332039816
2,8 	 0,170269590865386 	 0,17026817535061
2,88 	 0,161668651588616 	 0,161668116962305
2,96 	 0,153376692594807 	 0,153383994831268
3,04 	 0,145411923350176 	 0,145418064062363
3,12 	 0,137758042324475 	 0,137770365469442
3,2 	 0,130418165703851 	 0,130439052730772
3,28 	 0,123400783801473 	 0,123420682327538
3,36 	 0,116675322135429 	 0,116710470054321
3,44 	 0,110255195449528 	 0,110302517527841
3,52 	 0,10414742757773 	 0,10419001179098
3,6 	 0,0983012679130024 	 0,0983654008102531
3,68 	 0,0926927986752766 	 0,092820547393636
3,76 	 0,0874570855427685 	 0,0875468638096126
3,84 	 0,08243931768249 	 0,0825354291651452
3,92 	 0,0776073580888647 	 0,0777770913979314
4 	 0,0730216303017526 	 0,0732625555549366
4,08 	 0,0687281316888774 	 0,0689824598630374
4,16 	 0,0647342220806935 	 0,0649274409471285
4,24 	 0,0608248250556257 	 0,0610881894147963
4,32 	 0,0572337151382673 	 0,057455496903357
4,4 	 0,0537847977051559 	 0,0540202955735011
4,48 	 0,0504913211200142 	 0,0507736909329098
4,56 	 0,0474086398097855 	 0,0477069887820261
4,64 	 0,0444827159669622 	 0,0448117169917752
4,72 	 0,0417549985190657 	 0,0420796427486346
4,8 	 0,0391882934989615 	 0,0395027858352961
4,88 	 0,0367756022352188 	 0,0370734284545784
4,96 	 0,0344722591399122 	 0,0347841220496236
5,04 	 0,0322631020819098 	 0,0326276915241785
5,12 	 0,0302448972304142 	 0,0305972372224304
5,2 	 0,0283132373440152 	 0,028686134987956
5,28 	 0,0264676698048527 	 0,0268880345854517
5,36 	 0,0247293144543609 	 0,0251968567366463
5,44 	 0,0231854454442788 	 0,0236067889928195
5,52 	 0,0216918368265414 	 0,0221122806403391
5,6 	 0,0202553012205689 	 0,0207080368123044
5,68 	 0,0189255554159729 	 0,019389011958486
5,76 	 0,0176816069034365 	 0,0181504028070399
5,84 	 0,0164757196869945 	 0,0169876409347454
5,92 	 0,0153433882900472 	 0,0158963850475666
6 	 0,0142866401347023 	 0,0148725130599981
6,08 	 0,0132659048470117 	 0,0139121140497667
6,16 	 0,0123291652304163 	 0,0130114801538735
6,24 	 0,0114835977778766 	 0,0121670984625535
6,32 	 0,0106897667402958 	 0,0113756429593773
6,4 	 0,0099200737881909 	 0,0106339665483131
6,48 	 0,00916821280240983 	 0,00993909320202249
6,56 	 0,00849179789565383 	 0,00928821025987499
6,64 	 0,00783006779081984 	 0,00867866089907358
6,72 	 0,00720285041626508 	 0,008107936797798
6,8 	 0,00658098100969632 	 0,00757367100534463
6,88 	 0,00593146030025306 	 0,00707363103080211
6,96 	 0,00541399909888519 	 0,00660571215880445
7,04 	 0,00492471476371155 	 0,006167930998298
7,12 	 0,00449766785358467 	 0,00575841926800365
7,2 	 0,00406324194540563 	 0,00537541782031207
7,28 	 0,00364957018923084 	 0,00501727090368351
7,36 	 0,00323109671907206 	 0,00468242066220338
7,44 	 0,00285322913137654 	 0,00436940186974215
7,52 	 0,00242662292158214 	 0,00407683689515896
7,6 	 0,00205406386679697 	 0,00380343089414862
7,68000000000001 	 0,00165503793111297 	 0,00354796722264307
7,76000000000001 	 0,0012532816705305 	 0,00330930306612066
7,84000000000001 	 0,000740965930522002 	 0,0030863652787358
7,92000000000001 	 0,000370751305186798 	 0,00287814642584077
