101 	 -0,25 	 2
103 	 -0,3 	 2
105 	 -0,15 	 1,9
107 	 -1,71 	 1,9
109 	 0,81 	 1,9
111 	 0,65 	 1,9
113 	 -0,91 	 1,9
115 	 0,91 	 1,9
117 	 0,96 	 1,6
119 	 -2,52 	 1,6
121 	 -1,01 	 1,6
123 	 2,01 	 1,6
125 	 4,83 	 1,6
127 	 4,58 	 1,6
129 	 1,26 	 1,3
131 	 1,01 	 1,3
133 	 -1,26 	 1,3
135 	 0,45 	 1,3
137 	 0,15 	 1,3
139 	 -0,91 	 1,3
141 	 -0,81 	 1,1
143 	 -1,41 	 1,1
145 	 1,36 	 1,1
147 	 0,5 	 1,1
149 	 -0,45 	 1,1
151 	 1,61 	 1,1
153 	 -2,21 	 1,1
155 	 -1,86 	 0,9
157 	 1,76 	 0,9
159 	 -0,5 	 0,9


broyden: |gx|<acc
101 0,0158114992680271
101,005800580058 0,0158188344626936
101,011601160116 0,0158261747599329
101,017401740174 0,0158335201644759
101,023202320232 0,0158408706810591
101,02900290029 0,0158482263144245
101,034803480348 0,0158555870693195
101,040604060406 0,0158629529504972
101,046404640464 0,0158703239627159
101,052205220522 0,0158777001107398
101,05800580058 0,0158850813993382
101,063806380638 0,0158924678332863
101,069606960696 0,0158998594173647
101,075407540754 0,0159072561563595
101,081208120812 0,0159146580550625
101,08700870087 0,0159220651182708
101,092809280928 0,0159294773507875
101,098609860986 0,0159368947574208
101,104410441044 0,0159443173429848
101,110211021102 0,0159517451122992
101,11601160116 0,015959178070189
101,121812181218 0,0159666162214853
101,127612761276 0,0159740595710244
101,133413341334 0,0159815081236485
101,139213921392 0,0159889618842051
101,14501450145 0,0159964208575478
101,150815081508 0,0160038850485354
101,156615661566 0,0160113544620327
101,162416241624 0,0160188291029101
101,168216821682 0,0160263089760434
101,17401740174 0,0160337940863145
101,179817981798 0,0160412844386108
101,185618561856 0,0160487800378252
101,191419141914 0,0160562808888566
101,197219721972 0,0160637869966095
