random matrix A:
   -1,144    -1,555    -1,373    -1,758    -1,399    -1,284    -0,416    -0,703 
   -1,192    -1,991    -1,173    -0,286    -1,847    -0,601    -1,021    -0,132 
   -0,596    -0,669    -1,517    -0,889    -0,651    -0,616    -1,013    -1,811 
   -1,931    -0,602    -0,237    -1,071    -1,750    -0,598    -0,991    -0,805 
   -0,325    -1,680    -1,450    -1,997    -1,148    -0,980    -1,481    -0,424 
   -1,305    -1,940    -0,438    -1,476    -0,646    -1,165    -1,106    -0,754 
   -1,929    -0,287    -0,334    -1,586    -1,994    -0,721    -0,193    -0,528 
   -0,542    -1,561    -1,827    -0,796    -1,047    -1,345    -0,953    -0,594 
   -1,000    -0,368    -1,961    -0,168    -1,152    -1,024    -0,984    -1,616 
   -1,188    -1,093    -1,584    -0,712    -0,178    -1,537    -1,166    -0,766 
random vector b:
     0,252      0,259      0,429      0,268      0,868      0,298      0,595      0,198 
